id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label
192.168.1.195,49038,185.244.25.235,6667,tcp,,3.094737,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49038,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41100,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49040,185.244.25.235,6667,tcp,,3.092739,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49040,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49050,185.244.25.235,6667,tcp,,3.094738,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49050,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,123,195.113.144.201,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49052,185.244.25.235,6667,tcp,,3.092739,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41100,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49052,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49054,185.244.25.235,6667,tcp,,3.090486,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49054,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49056,185.244.25.235,6667,tcp,,3.088476,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.023984,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49056,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49060,185.244.25.235,6667,tcp,,3.107985,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49060,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49072,185.244.25.235,6667,tcp,,3.112743,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49072,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49082,185.244.25.235,6667,tcp,,3.095254,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,195.113.144.201,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49084,185.244.25.235,6667,tcp,,3.107988,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41154,185.244.25.235,80,tcp,,3.158697,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,49084,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41154,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49088,185.244.25.235,6667,tcp,,3.105976,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49088,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41154,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.001484,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,48994,185.244.25.235,6667,tcp,irc,1.128098,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,49090,185.244.25.235,6667,tcp,,3.103981,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49090,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41154,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49094,185.244.25.235,6667,tcp,,3.083745,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49002,185.244.25.235,6667,tcp,irc,1.484655,75.0,243.0,S3,0,ShAdDaf,7,447,8,667,Malicious
192.168.1.195,49000,185.244.25.235,6667,tcp,irc,4.095418,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
192.168.1.195,49094,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49096,185.244.25.235,6667,tcp,,3.081995,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49096,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49098,185.244.25.235,6667,tcp,,3.1597,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49098,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41154,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49104,185.244.25.235,6667,tcp,,3.095753,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49104,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49106,185.244.25.235,6667,tcp,,3.093494,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.001746,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49012,185.244.25.235,6667,tcp,irc,1.329994,75.0,243.0,S3,0,ShAdDaf,8,559,7,627,Malicious
192.168.1.195,49106,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49108,185.244.25.235,6667,tcp,,3.091487,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,89.221.210.188,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,123,81.2.254.224,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49108,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49110,185.244.25.235,6667,tcp,,3.089256,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49110,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49112,185.244.25.235,6667,tcp,,3.087235,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49114,185.244.25.235,6667,tcp,,3.109975,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49114,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49116,185.244.25.235,6667,tcp,,3.107967,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41186,185.244.25.235,80,tcp,,3.118724,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,49116,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49120,185.244.25.235,6667,tcp,,3.105494,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41186,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49120,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.001498,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,41186,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49124,185.244.25.235,6667,tcp,,3.144719,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,81.2.254.224,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49124,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49126,185.244.25.235,6667,tcp,,3.142724,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41186,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49126,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49128,185.244.25.235,6667,tcp,,3.140713,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49128,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49130,185.244.25.235,6667,tcp,,3.138715,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49130,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49132,185.244.25.235,6667,tcp,,3.136714,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41186,185.244.25.235,80,tcp,http,1.143354,152.0,100178.0,SF,2896,ShADacdtfF,73,4696,71,100982,Benign
192.168.1.195,49136,185.244.25.235,6667,tcp,,3.118474,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41202,185.244.25.235,80,tcp,http,1.958139,149.0,83792.0,SF,5792,ShADadtctfFR,67,4033,61,85524,Benign
192.168.1.195,49042,185.244.25.235,6667,tcp,irc,1.080627,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,49044,185.244.25.235,6667,tcp,irc,1.105621,74.0,242.0,S3,0,ShAdDaf,7,446,6,562,Malicious
192.168.1.195,41206,185.244.25.235,80,tcp,http,4.16038,149.0,103381.0,SF,5792,ShADadtctfF,75,4309,72,101341,Benign
192.168.1.195,41208,185.244.25.235,80,tcp,,3.118976,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,49046,185.244.25.235,6667,tcp,irc,4.562408,75.0,243.0,S3,0,ShAdDaf,9,567,7,615,Malicious
192.168.1.195,49142,185.244.25.235,6667,tcp,,3.106482,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49048,185.244.25.235,6667,tcp,irc,2.141281,75.0,243.0,S3,0,ShAdDaf,8,507,7,615,Malicious
192.168.1.195,41208,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,147.231.100.5,123,udp,,0.046954,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49142,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49144,185.244.25.235,6667,tcp,,3.104485,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41208,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,123,81.2.254.224,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49144,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49146,185.244.25.235,6667,tcp,,3.102483,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49146,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41208,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49152,185.244.25.235,6667,tcp,,3.12773,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49152,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49058,185.244.25.235,6667,tcp,irc,2.106538,75.0,243.0,S3,0,ShAdDaf,8,507,6,563,Malicious
192.168.1.195,49154,185.244.25.235,6667,tcp,,3.125718,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49154,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49064,185.244.25.235,6667,tcp,irc,1.085384,74.0,242.0,S3,0,ShAdDaf,7,446,6,562,Malicious
192.168.1.195,49062,185.244.25.235,6667,tcp,irc,1.085865,75.0,243.0,S3,0,ShAdDaf,8,499,6,563,Malicious
192.168.1.195,49066,185.244.25.235,6667,tcp,irc,2.080571,75.0,243.0,S3,0,ShAdDaf,8,507,6,563,Malicious
192.168.1.195,49068,185.244.25.235,6667,tcp,irc,1.102625,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,49160,185.244.25.235,6667,tcp,,3.104984,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49070,185.244.25.235,6667,tcp,irc,1.108372,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,41208,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49160,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49162,185.244.25.235,6667,tcp,,3.102734,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49076,185.244.25.235,6667,tcp,irc,1.103122,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,49074,185.244.25.235,6667,tcp,irc,1.080627,75.0,243.0,S3,0,ShAdDaf,8,499,6,563,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.001494,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49078,185.244.25.235,6667,tcp,irc,1.136107,75.0,243.0,S3,0,ShAdDaf,7,447,7,615,Malicious
192.168.1.195,49080,185.244.25.235,6667,tcp,irc,2.111047,75.0,243.0,S3,0,ShAdDaft,9,571,7,615,Malicious
192.168.1.195,49162,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49164,185.244.25.235,6667,tcp,,3.100741,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49082,185.244.25.235,6667,tcp,irc,0.939867,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,49164,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49166,185.244.25.235,6667,tcp,,3.098492,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49166,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49168,185.244.25.235,6667,tcp,,3.096478,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49168,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49170,185.244.25.235,6667,tcp,,3.094494,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49170,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49092,185.244.25.235,6667,tcp,irc,4.141877,75.0,243.0,S3,0,ShAdDaf,9,567,6,563,Malicious
192.168.1.195,49172,185.244.25.235,6667,tcp,,3.092253,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49172,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49176,185.244.25.235,6667,tcp,,3.090257,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41242,185.244.25.235,80,tcp,http,4.711562,150.0,110211.0,SF,0,ShADadttfF,82,4802,81,114431,Benign
192.168.1.195,41246,185.244.25.235,80,tcp,,3.081252,0.0,0.0,S0,0,S,3,180,0,0,Benign
192.168.1.195,49176,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.001499,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49180,185.244.25.235,6667,tcp,,3.087983,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,41246,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49180,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41246,185.244.25.235,80,tcp,,,,,S0,0,S,1,60,0,0,Benign
192.168.1.195,49182,185.244.25.235,6667,tcp,,3.085999,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49100,185.244.25.235,6667,tcp,irc,4.087672,75.0,234.0,S3,0,ShAdDaf,11,671,7,606,Malicious
192.168.1.195,49102,185.244.25.235,6667,tcp,irc,4.219365,75.0,243.0,S3,0,ShAdDaf,9,567,7,615,Malicious
192.168.1.195,49184,185.244.25.235,6667,tcp,,3.082245,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49184,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,41246,185.244.25.235,80,tcp,http,1.160585,151.0,112443.0,SF,5792,ShADacdtfF,78,4395,78,110715,Benign
192.168.1.195,49186,185.244.25.235,6667,tcp,,3.08024,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49186,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49188,185.244.25.235,6667,tcp,,3.15795,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,123,82.113.53.40,123,udp,,,,,S0,0,D,1,76,0,0,Benign
192.168.1.195,49194,185.244.25.235,6667,tcp,,3.13422,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49194,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
192.168.1.195,49196,185.244.25.235,6667,tcp,,3.131232,0.0,0.0,S0,0,S,3,180,0,0,Malicious
192.168.1.195,49112,185.244.25.235,6667,tcp,irc,0.929956,75.0,243.0,S3,0,ShAdDaf,7,447,6,563,Malicious
192.168.1.195,123,147.231.100.5,123,udp,,0.039212,48.0,48.0,SF,0,Dd,1,76,1,76,Benign
192.168.1.195,49196,185.244.25.235,6667,tcp,,,,,S0,0,S,1,60,0,0,Malicious
